mainFrameColor,158,175,76
jButton1,85,10,226
jButton2,35,9,192
jButton3,69,128,125
jButton4,254,19,12
jButton5,0,184,5
jButton6,61,61,71
jButton7,250,201,41
jButton8,128,249,213
jButton9,138,116,228
jButton10,71,235,239
jButton11,193,230,20
jButton12,117,241,224
jButton13,112,48,33
jButton14,111,161,87
jButton15,192,52,59
jButton16,56,137,180
jButton17,252,140,34
jButton18,181,92,190
jTextField1,174,14,218
jTextField1TextColor,192,246,190
jLabel1,178,206,48
jPanel1,53,140,75
jPanel2,182,182,108
jPanel3,206,27,111
jPanel4,96,177,211
jPanel5,155,122,6
