mainFrameColor,247,229,249
jButton1,30,119,192
jButton2,217,33,19
jButton3,113,233,101
jButton4,84,184,68
jButton5,247,73,93
jButton6,191,17,24
jButton7,227,198,114
jButton8,70,27,240
jButton9,9,89,28
jButton10,119,137,132
jButton11,248,48,253
jButton12,90,75,199
jButton13,165,203,142
jButton14,70,180,55
jButton15,184,62,79
jButton16,178,23,189
jButton17,60,27,9
jButton18,211,162,192
jTextField1,213,124,209
jTextField1TextColor,183,219,235
jLabel1,20,226,173
jPanel1,118,65,249
jPanel2,37,115,139
jPanel3,122,0,165
jPanel4,186,222,154
jPanel5,151,31,230
