mainFrameColor,248,42,105
jButton1,130,119,228
jButton2,112,173,21
jButton3,18,83,195
jButton4,59,156,68
jButton5,110,233,75
jButton6,223,156,241
jButton7,95,54,117
jButton8,40,62,22
jButton9,18,220,147
jButton10,68,13,176
jButton11,83,142,185
jButton12,12,148,248
jButton13,5,241,73
jButton14,151,162,68
jButton15,76,147,205
jButton16,225,209,106
jButton17,88,212,6
jButton18,119,252,184
jTextField1,249,221,110
jTextField1TextColor,227,217,166
jLabel1,125,236,114
jPanel1,200,74,90
jPanel2,175,3,21
jPanel3,83,157,152
jPanel4,30,43,124
jPanel5,214,23,15
