mainFrameColor,154,157,156
jButton1,50,184,5
jButton2,127,214,32
jButton3,229,245,192
jButton4,241,181,2
jButton5,12,13,209
jButton6,66,251,66
jButton7,175,91,198
jButton8,102,71,77
jButton9,249,19,253
jButton10,185,162,61
jButton11,63,239,69
jButton12,124,204,51
jButton13,31,23,153
jButton14,15,96,33
jButton15,106,106,174
jButton16,138,9,107
jButton17,231,220,14
jButton18,81,68,133
jTextField1,115,218,196
jTextField1TextColor,185,56,76
jLabel1,155,19,49
jPanel1,79,149,192
jPanel2,251,148,89
jPanel3,49,18,225
jPanel4,73,229,108
jPanel5,83,0,112
